,wAP0021_d8_54A,wAP0031_d4_55A,wAP0034_d0_56A,wAP0035_d4_57A,wAP0037_d0_63A,wAP0038_d8_58A,wAP0040_d8_59A,wAP0041_d4_64A,wAP0043_d4_60A,wAP0045_d8_65A,wAP0046_d4_62A,wAP0047_d0_66A,wAP0048_d4_67A,wAP0049_d0_68A,wAP0049_d8_61A,wAP0050_d4_69A,wAP0054_d8_70A,wAP0026_d4_97A,wAP0051_d0_98A,wAP0051_d8_106A,wAP0052_d4_103A,wAP0052_d8_96A,wAP0054_d0_100A,wAP0055_d8_101A,wAP0057_d0_102A,wAP0058_d0_109A,wAP0058_d8_108A,wAP0059_d4_107A
FUCA1,-0.361219223,0.263913697,-0.78385814,0.39124477,-0.757350761,0.304822959,-0.07510537,-0.099472665,0.287450274,0.711064979,0.248389936,0.697946092,-0.167634738,0.412814323,0.419111252,0.028389841,0.673938833,0.070028487,0.068162926,0.676036253,-0.230172516,0.023311653,-0.565846577,0.379826749,0.549332089,-0.524877743,0.497119587,0.120929834
ALDOA,-0.420753177,-0.297831496,0.113632445,0.117466783,-0.024606554,0.459969213,0.467801384,0.001590747,-0.287799608,-0.555997781,-0.162304273,-0.188964261,0.240341614,0.497184689,0.15785495,-0.460285046,-0.058304026,-0.174689411,-0.392093322,-0.081201957,0.037858799,0.052276078,-0.284379166,-0.526893687,-0.216569469,0,-0.368172041,-0.161696624
CSTB,0.724255586,-0.369967042,-0.391024104,0.475773056,0.064973963,-0.028182812,0.385963798,0.064296054,0.639780101,-0.639224786,-0.502051563,0.876720782,-1.472943433,0.752655117,0.294074343,0.350163387,0.410991454,0.166380508,-0.150068042,0.080584941,0.495817216,-0.393834962,0.590815401,0.52032312,0.241322055,0.040773517,0.510664433,0.661059941
APOB,0.12659577,-0.921734915,-0.203402164,0.907924674,0.360051539,-0.279088794,-0.722768713,-0.625051135,-0.002870395,-0.841720659,-0.334846923,1.285349779,-0.078055246,-0.166903177,0.16729183,-0.82816933,-0.809645599,0.518852971,0.122264975,-0.212182824,-0.201175517,0.544417745,1.408118447,0.382564718,-0.781103145,0.351718182,0.27380434,0.85677178
SOD2,-0.642068868,0.367266828,-0.214854976,0.206732818,-0.483580868,0.209034741,0.356273322,-0.086382645,-0.058026718,-0.198405639,-0.077861948,1.062845241,-0.060032588,0.393692246,0.830543525,0.082728793,0.511339291,-0.500578622,0.32287468,0.068632187,-0.151138323,0.066620534,0,0.254887968,0.369280718,0.699683765,0.37265195,1.213366741
OAT,-0.095621228,-0.776943201,0.027581519,-0.086030686,-0.326118828,0.152083926,0.135311925,-0.333165644,-0.034598469,0.075185108,0.391253154,0.156902065,0,0.491449868,0.578060862,-0.088383814,-0.184359194,0.109009897,-0.097895699,-0.097098469,0.540292513,-0.110418174,0.090193554,-0.017768717,0.006889499,-0.006178981,0.184741676,0.367692836
KRT1,0.701378474,-0.146871769,0.552599529,1.637342313,-3.141475618,1.262918861,1.058227995,-4.490772893,NA,-1.217675956,0.285852522,0,1.108029436,-0.045392467,-0.535310745,-0.361416356,-3.544382207,-0.797269876,-0.043807056,-2.765234277,1.757257142,3.117915591,2.13261572,-1.053976937,0.483177479,0.955175579,-1.612521013,2.04875278
GAPDH,0.065692507,-0.121203133,0.216917677,0.267898433,0.462544825,0.164951866,0.100046619,-0.054799308,-0.015844693,-0.146410536,0.231409278,-0.246240356,0.091325688,-0.281905888,0.374998082,-0.050130664,-0.271564571,0.217821634,0.181479627,0.431826104,0.080078298,-0.275334537,0.002174887,-0.200871162,0.096011742,-0.053659664,-0.185715887,-0.271515269
HSPB1,-0.835186386,1.01864654,-3.479416718,1.211492373,0.48592121,1.146681118,-0.367057142,0.847226507,1.315213572,-0.38720318,1.329732519,0.741889365,2.112572967,-0.08143183,-0.600596932,-0.20542548,1.914530556,-2.551120849,1.974396441,2.838126965,-3.059308514,1.251017798,1.91903453,-0.109491127,0.70750708,-0.039837153,2.455662285,1.565716656
RPN1,-0.123998239,-0.914141241,-0.122932846,0.066721873,0.437631208,0.459510263,-0.165228965,-0.499723635,-0.33730682,-1.021185579,-0.526123756,-0.148543899,0.186382071,0.06545501,0.28820666,0.840231403,0.018608124,-0.602102433,-0.245528073,-0.098910441,0.014231512,-0.114987259,0.308391707,0.446942016,-0.053356139,-0.047857269,0.267564692,0.129902238
RPN2,-0.198378441,-0.985039336,-0.133182875,-0.16461483,0.626436682,0.777110465,-0.395162689,0.16075879,-1.311304441,2.144491387,0.164329789,-0.836174665,-0.124673803,0.407520698,-1.000112329,0.181786422,-0.664944449,0.036987967,-0.431325285,-0.199875989,0.799439214,0.390298532,0.544573247,0.309913934,0.528718891,0.121828143,-0.1638992,-0.182474164
GNAI2,-0.466970524,-0.028913936,-0.452936927,1.666965428,0.578482651,-0.544767909,0.024059103,0.224624779,-0.562695937,2.938913753,-0.359125999,-1.999025328,-1.001652102,-1.53947716,-0.918051778,-0.355491121,-0.831777113,0.185039793,-0.250338681,-0.102070841,-1.348195773,1.268450574,0.086773212,0.490782206,-0.484698928,-0.260907651,0.587026456,1.738556016
ATP1A1,0.75415912,0.827332374,-0.345056763,-0.812526597,0.497567554,0.130558601,0.032199919,0.673927603,-0.040174564,0.172018478,-0.387614507,-1.727831254,-0.550207656,0.336008262,0.584574443,0.493726043,-0.272711204,0.294113222,-0.293105329,0.271061227,0,0.197661376,-0.40883713,0.413296712,0.298734452,0.702089414,-0.131184799,1.549319273
