,wAP0022_d4_2A,wAP0026_d0_10A,wAP0029_d8_50A,wAP0030_d0_51A,wAP0033_d8_20A,wAP0037_d4_31A,wAP0041_d0_41A,wAP0042_d0_87A,wAP0042_d4_42A,wAP0043_d8_40A,wAP0045_d4_88A,wAP0046_d0_46A,wAP0047_d4_47A,wAP0050_d0_93A,wAP0026_d4_97A,wAP0051_d0_98A,wAP0051_d8_106A,wAP0052_d4_103A,wAP0052_d8_96A,wAP0054_d0_100A,wAP0055_d8_101A,wAP0057_d0_102A,wAP0058_d0_109A,wAP0058_d8_108A,wAP0059_d4_107A
RAB5A,NA,-0.77155388,NA,-1.650611666,-0.506359993,0.876717787,0.776627854,1.845077783,1.941653976,1.910928747,0.145552639,2.142419565,-1.03149213,1.89070838,0.518091944,-1.82921174,0.390390963,0.894679639,0.530216204,NA,-0.630092351,1.469629645,-1.513076806,-0.983637788,1.317927773
PSMB1,-0.359600436,-0.283595628,0.377232783,0.112346583,0.033580321,-1.512981849,0.027918198,0.241552296,0.060978901,0.33293838,-0.157240155,0.23422214,-0.323683372,0.339684137,-0.404611349,-0.427182213,-0.077994262,-0.269936427,-0.397084639,0.04214634,-0.579021259,0.10269942,-0.073384134,-0.271248667,0.349862077
COX5A,0.615479778,0.089829718,-1.559756523,-0.197428862,-0.125359483,-1.118234763,0.727003864,0.174058016,-0.236437855,-0.2925996,-0.63012264,0.4260764,0.049340815,0.648211717,0.20371702,-0.007065531,0.082462558,-0.369306892,-0.293006477,0.149554332,0.548521049,0.038675607,-0.557270661,-1.083339758,-0.479174339
CAST,-0.645652994,0.087834054,1.214610029,-0.131603722,0.179452027,0.479836446,-0.132670122,-0.583127197,0.479229041,-1.655356728,NA,-0.091215134,-0.324546478,-0.965967764,-0.30640286,NA,-1.453313799,-0.264592468,0.454030912,0.920856567,0.338053384,-0.01616878,-0.170473884,-0.76672924,0.259869742
NEB,-1.552465819,0.249594372,1.018766376,-0.189375798,-0.129342276,0.780457932,-0.494931352,-0.760713371,0.103823772,0.174321554,-1.000545063,0.056473503,-0.752820034,-0.525483928,-0.290093916,-0.516049484,0.281444752,-0.306936396,0.102182201,-0.177171443,0.797730706,0.147681637,1.018761671,0.200558599,0.017188871
RASA1,-1.299440117,-0.127417522,1.110890032,0.57678021,-0.554621772,NA,0.000625119,-0.32637825,0.124955411,-0.015971173,-0.872400311,-0.899767344,-0.282616282,-0.133226823,0.23763334,-1.374340502,-0.182099895,-0.201164723,0.271695354,-0.474039995,0.277898882,-0.340406194,0,-0.104821467,0.15592781
GSTM3,-0.200084157,-0.619737215,0.310674047,-0.848298771,-0.81562233,-0.729889177,0.226203986,0.440268806,0,-1.009989434,-0.238016458,-0.99078689,0.033876864,-0.07597221,-0.016314591,0.221588416,-0.386835634,-0.566576414,-0.197307959,-0.139928878,-0.095469658,-0.178639328,0.9752738,0.137281188,0.123327201
ATP6V1B2,0.593104859,-0.335274628,0.133137421,0.413271062,-0.27887344,-1.180548991,-0.46198537,0.089556752,-0.218046726,-0.304964915,0.095658975,0.197730065,0.35518832,0.36804473,0.340421103,0.639360992,0.380905446,0.202489353,-0.367095957,0.159509151,0.681557177,0.026807938,0,-0.060406035,-0.287165131
CSRP1,-1.712999284,-0.746383257,-0.396412198,-0.135317339,-0.046682199,NA,0.381069949,0.584753727,0.520615482,-1.153288023,0.040150013,1.067173928,0.115794812,0.201067578,-0.118365827,0.067804852,-0.002091201,1.077224302,0.481904437,0.830014028,-0.236333296,1.021535828,-0.337802947,-0.296370781,-0.471970267
FLNA,-0.099049431,-0.190444132,-0.172346969,-0.454316194,0.439938028,-0.027626308,0.310049987,0.949165047,0.384182486,0.369530184,0.52858257,0.551068981,0.891902499,0.451157939,-0.747381914,-0.527971449,-0.392793437,-0.859550236,-0.326535747,-0.302117167,0.390682808,-0.529430695,0.045056674,-0.24414474,0.1886894
ACO1,0.350712089,0.835390451,0.361602182,0.148834505,-0.325926807,1.50763955,0.114480853,0.570507999,0.039088759,0.212984533,0.108805574,0.081765786,0.377907552,-0.536732005,0.652053172,-0.250429656,-0.202546941,-0.106064419,-0.099139073,-0.538612753,0.622959615,-0.832323581,0.552866748,0.015938329,0.254524925
GPD1,-0.000380017,1.345571884,0.433387671,-0.313323032,0.185238076,-0.66214733,-0.382941091,0.430815749,0.133127284,-0.292406618,0.192511173,-1.081357484,0.143365658,0.168117727,0.527061105,0.029750531,-0.463992611,-0.421725192,0.677362295,0,0.593621754,-0.443875023,0.091098923,0.228536682,-0.182895958
ZP3,-1.920284672,-1.837362305,-0.142267206,-0.640215311,0.022311466,-0.75692791,0.793096354,0.294845949,-0.186180362,-1.919557973,-0.695249632,0.414529036,-0.297737778,0.655435538,0.663743085,0.446052751,0.461716525,0.481761465,-0.060410841,0.683026352,0,0.309542126,0.501007142,0.053148506,0.28441334
VDAC1,0.206128632,-0.440864891,-0.040538662,-0.744663898,-0.037320025,0.043163607,0.335294343,0.610473916,-0.556130315,0.254552936,0.293508644,0.473359173,-0.111909013,-0.013708115,0.260615929,-0.115778734,0.083598498,0.094170964,-0.34119457,0.054280651,0.255879405,0.428875006,0.161300417,0.446620331,0.122828804
SDHB,-0.066478182,0.371062646,-0.162028914,0.481122142,-0.088542386,-0.430013489,0.130204801,-0.155003849,0.493079689,0.278108347,0.733849988,-0.217207699,-0.27926867,0.452612241,0.405886462,0.602470839,0.477583827,0.266573424,0.547776777,0.519039033,0.641781762,0.256492406,0.074552958,0.495766998,-0.035230126
CD9,NA,-0.38962999,-0.049450939,-0.145658715,0.288373932,NA,1.038770064,-0.677278649,NA,-1.616225027,0.798479162,0.691921998,0.172735998,0.003547327,-0.452656225,0.608089776,0.700707399,0.123867082,-0.524012657,0.654137422,-0.046478424,0.132381544,1.2514465,-0.201567204,-0.368616776
MMUT,0.624648201,0.103974343,-0.342360969,0.610373325,-0.327191981,0.453670834,-0.082481166,-0.362809939,-0.081288612,0.567029906,0.500377885,-0.369376497,-0.154673533,-0.379745174,0.062274893,-0.190378653,-0.01441274,0.312708744,-0.338576509,-0.349283319,0.122033596,-0.140525078,-0.096203729,-0.285627185,0
