,wAP0021_d0_1A,wAP0022_d0_4A,wAP0023_d4_8A,wAP0024_d4_49A,wAP0025_d8_9A,wAP0026_d8_71A,wAP0028_d4_52A,wAP0030_d8_53A,wAP0032_d8_74A,wAP0033_d0_75A,wAP0035_d0_80A,wAP0036_d4_76A,wAP0021_d8_54A,wAP0031_d4_55A,wAP0034_d0_56A,wAP0035_d4_57A,wAP0037_d0_63A,wAP0038_d8_58A,wAP0040_d8_59A,wAP0041_d4_64A,wAP0043_d4_60A,wAP0045_d8_65A,wAP0046_d4_62A,wAP0047_d0_66A,wAP0048_d4_67A,wAP0049_d0_68A,wAP0049_d8_61A,wAP0050_d4_69A,wAP0054_d8_70A
P09455,0.972416351,-1.30459136,2.288429462,1.010528806,2.124575651,-0.001303666,0.749056853,2.357245376,3.656109822,4.349176957,-0.42601646,1.528503862,0.048470729,1.054533862,0.702834674,-2.492589789,-0.421657352,-0.128081915,0.265336409,-0.272431587,NA,0.808853512,-0.698922853,NA,-0.643583919,NA,-1.250667276,-0.345567658,-0.137172288
P09493-10,-0.419594977,0.248221906,-1.005202915,-0.599257931,-0.483705505,0.336555876,-0.146217263,-0.005363657,-0.709508955,-0.150905177,0.101824622,-0.086165966,-0.042924669,-0.424259818,0.053960295,-0.102675646,-0.031634753,-0.096643248,-0.218125007,0.256759763,1.150837678,0.341435435,0.10775939,0.410907745,0.757104005,0.039529217,-0.322278051,0.497195467,0
P09493-5,0.127296925,0.968124141,1.26998959,0.371132812,-0.421109837,0.822040116,0.418067198,0.124596074,0.488866426,0.104012812,-2.220195735,0.233845831,0.134644404,1.067712205,-2.314993612,-0.730360334,0.563133714,NA,-0.709423157,-0.054646276,-0.789878226,-0.204243657,0.778295587,-0.604473521,1.302030585,-0.8863943,-0.144649751,-0.338343665,0.900162465
P09496-2,0.074309989,-0.42830406,0.21217874,-0.225917854,-0.041722294,0.081230058,0.001385136,-0.109204963,-0.272090084,-0.740468316,0.373000426,-0.524424298,0.136766769,0.595172519,0.148303008,0.215740227,-0.570454703,-0.061101484,0.130925223,-0.01605104,0.250244919,0.179212705,0.089560024,-0.040896536,0.357158348,-0.150460232,-0.647478347,-0.046094156,0.271211361
P09497-2,0.283879818,-0.114832813,-0.465423307,-0.083785347,-1.056605507,0.466815338,-0.250208165,0.126034714,0.388409227,-0.34126508,0.416855603,-0.414422641,-0.232965366,0.051117853,0.056247565,0.314873622,1.162409734,-0.146843014,-0.029773462,-0.095420669,0.060290978,0.046135379,0.121838789,-0.187289878,-0.009391019,0.116694719,-1.209852207,0.272778734,-0.057794288
P09543,-0.119933611,-0.502652438,0.391192413,0.617731529,-0.397334547,0.507846281,0.28898347,-0.277054686,0.215477886,-0.51934062,1.241390625,0.024458602,0.044230247,-0.161943502,0.253917458,0.107455861,0.037992883,0.180063469,-0.030594151,-0.410361598,-1.443681932,NA,-1.751317559,0.037600787,-0.415515593,-0.88792397,0.281283969,-0.286943764,0.896778172
P09619,0.001720308,-0.499526093,-0.75327845,-0.493091475,-0.163122174,-0.097512736,0.111601336,0.256289085,-0.028614895,-1.653626353,-0.2000211,-0.23833885,0.605926122,-0.109546485,1.074759736,0.063355559,-0.032527772,0.317651908,-0.212610995,0.094813816,0.085424725,-1.418215477,0.405126211,0.309520093,-0.569845568,0.680906716,0.512694076,0.330209252,-0.929254352
P09622,-0.127246084,0.060559985,-0.321306081,-0.576115884,0.34646728,-0.022216076,0.145686058,0.108589586,0.092718226,-0.206857191,0.092272899,-0.033176797,-0.108760975,0.169418868,0,0.509097417,0.381263001,0.333081515,0.040622946,0.100956435,0.059298119,-0.766929398,0.064826122,0.051652292,0.123327246,0.384643197,0.284618351,-0.110856395,-0.250374692
P09669,0.01432601,-0.57483195,-0.742931193,-0.183552382,0.192334003,-0.658716666,0.163405075,0.535902947,0.252985286,-0.392874295,-0.014295175,0.186127187,0.04580886,-0.093568265,-0.000680201,0.477408045,-0.03036425,0.194649027,0.157577434,-0.156075268,0.101845725,NA,-0.666826856,0.206262142,0.218526346,-0.792435759,0.458058452,0.680693406,-0.060531641
P09936,-1.056425112,0.088937171,-0.736351446,-0.0995566,0.333879133,0.609251016,0.323968486,0.171610295,0.049419944,0.659837023,0.283065145,0.173145354,-0.359631998,-0.060975045,0.623970891,0.165408028,0.369419385,0.237062202,0.01273844,0.273457731,0.464451284,0.231433714,0.197981922,-0.020759938,-0.076124117,0.365724281,0.835127638,0.180014775,-0.102156589
P09960,-1.039449869,0.342479495,-0.239255196,-0.042221616,-0.144961857,0.300687041,0.046364048,0.467857586,-0.51548595,0.049745887,-0.558259868,-0.241176804,-0.294014188,0.288241664,-0.061657623,-0.093894068,0.564522022,0.305839601,-0.001957307,0.038653594,-0.093082293,-0.275927594,-0.046976136,-0.175641112,-0.128347647,0.428104726,-0.706448235,0.537353037,0.040799842
P09972,-1.080640183,-2.207851204,-0.767618865,-0.040742664,0.027037232,0.14113781,-0.038705338,-0.563771408,0.060222234,0,0.001661871,-0.368603329,-0.602202107,-0.256969116,-0.478767603,-0.192360702,0.170822365,0.551397809,0.546518727,0.240934019,-0.01486647,-0.081451151,-0.085718507,0.374477872,0.473467342,0.611623857,0.607015442,-0.249372547,-0.063605903
P0C1S8,-2.118387715,NA,-1.468879342,0,-1.969034142,-0.148880769,-0.98067139,-3.137819675,-1.737622445,-0.891621563,-1.56056147,-1.97573132,-0.629866921,0.633523959,0.523438986,-0.001941828,0.118146059,0.446373744,0.314030331,0.143297123,0.49070402,0.003477094,0.690500814,-0.036234848,0.549988269,0.769617272,0.61635819,0.008083511,0.03262632
P0DOX2,0.956565928,NA,-2.047016134,2.203349416,-0.965082531,-1.91182346,0.178893053,-0.357280144,-0.372605949,-0.414926276,-0.116420782,0.850046495,NA,0.601632157,0.871728297,0.062457197,0.02058919,-0.879271278,-1.383090728,-0.145235408,NA,1.537802213,0.037409121,-0.641446461,-0.264020272,0.211979675,-0.198224586,NA,-1.625923417
P10253,-0.231001507,0.765251239,0.278640191,-1.662201471,0.2243241,-0.6266201,0.0796374,1.358356583,-0.456649146,1.033814812,0.427353245,-0.231303126,-0.253429123,0.075683245,-0.510225941,0.102448394,-0.196522537,0.050723338,0.042115844,0.208696142,-0.89176942,1.810496564,0.339310433,-0.258644828,-0.25811865,0.381223242,0.933053705,0.173999459,-0.076216038
P10515,-0.074855035,-0.135766592,-0.292212519,-0.258460134,0.186968922,0.058124966,0.12089129,0.160524481,0.292136981,-0.064011092,0.224130527,0.004674279,0.234602253,0.186097969,0.2755307,0.607596566,0.331627739,-0.222662198,0.037457518,-0.153934988,0,-0.422707732,-0.035029416,0.383048782,0.222696163,-0.184990418,0.501150792,0.36842941,-0.197497414
P10599,0.033492247,0.214245886,-0.489504524,-0.146502076,0.75927099,-0.490781481,-0.80281984,-0.50274148,-0.927941949,0.740180834,0.257458748,-0.441767885,-1.653167309,0.26263356,-1.237729181,0,-0.378117899,0.075035343,-0.605317948,-0.443193861,0.312532508,-0.804812515,-0.807748472,0.535479818,0.434749899,0.024137451,0.527414702,-0.181312147,-0.254841735
P10606,-0.156810332,0.080567064,-0.416111302,0.388302328,-0.104813863,-0.983029337,0.519947288,0.482404739,0.079596665,-0.683751946,0.292994507,-0.085132792,-0.213439589,-0.156126904,-0.469831501,0.096245024,0.084606946,0.136677354,-0.078317634,-0.265412542,-0.031226593,-0.797648924,-0.08111126,-0.068422111,0.495410761,-0.157961997,-0.318552499,0.339564072,0.098643152
P10644,-0.647935211,-0.316791167,0.055002137,-0.04741629,-0.097947319,0.494855052,0.22689908,-0.692275602,0.261015625,0.128240277,0.351625016,0.356582052,-0.224421769,-0.2936047,0.274552486,0,0.109641761,-0.088372595,0.100707987,0.381453341,0.587654612,0.27837586,0.601586987,-0.426405037,0.220557802,-1.111309815,-0.570624356,0.171389157,-0.171626829
P10645,-1.076779865,-0.925129457,-0.448082125,0.089030099,0.477897983,-0.384865977,0.585191881,-2.079390788,1.201281177,-2.600970498,-0.279819061,0.118936567,-0.803439899,0.118751092,-0.6689695,0.192994605,-0.99375363,0.202353487,0.50595602,-0.674490057,-0.055470806,-0.510431045,0.047199084,-0.183573259,0.660348416,0.725329548,0.652552427,-1.099348756,0
P10768,-1.229875068,-1.299745405,-1.074218175,-0.596372211,-0.38984653,0.93026719,-0.642738588,0.082547024,-0.068050363,0.54023936,0.43286083,-0.201489044,0.161045704,-0.500674236,0.120042535,0.77832534,0.400582109,0.117008688,0.001641563,-0.138388622,0.040962983,0.445445918,0.682051068,0.944807088,0.207716666,-0.065459679,0.800410042,-1.031736764,-0.965146565
P10809,-0.2485031,-0.430959411,-0.116615608,-0.351855953,0.208773348,0.055347353,0.157456762,-0.055047936,-0.015590369,-0.286245035,-0.002598846,-0.055061406,0.003067175,-1.77E-06,0.311794111,0.068484168,-0.172399237,0.021019361,0.037334665,-0.005962291,-0.029985836,-0.369063671,0.222252307,0.131035101,-0.164486917,0.268852268,0.278098565,0.104479615,-0.114595797
P10909,-2.805519271,-2.10360577,-0.988811505,-0.696603363,-1.269465852,-0.060756277,-0.910266564,0.806540487,-0.610271285,-0.716519567,0.313805305,0.326779052,0.418793007,1.415865684,0.673504189,0.115681775,0.695113409,-0.222463703,0.658672516,0.598847178,0.419468351,0.251812582,0.006871938,0.021109095,-0.476938555,0.262929125,0.427737559,0.143861302,-0.358017605
P11021,-0.557009243,-0.489186346,-0.457433456,-0.368631615,-0.598656945,0.05385049,0.137373684,-0.484817555,-0.154449325,0.017435508,-0.116420265,0.001529362,-0.002356464,0.249457907,0.153805666,0.400383367,0.364481784,-0.057056332,0.033733095,-0.038943372,0.124647948,-0.092073247,-0.087822589,0.517210439,-0.152521364,0.507644242,0.12048895,-0.162014797,-0.282457158
P11047,-0.511394253,-0.763298781,-0.656390555,-0.679803585,-0.288823015,-0.254947492,-0.338128972,-0.303278613,0.564983879,-0.342807591,0,-0.081098088,0.699374949,-1.743055103,-0.095719662,-0.805144281,-0.020547275,0.560137134,0.512625382,-1.966658447,0.337985376,-0.010567605,-1.294946994,0.997644675,0.214720579,-0.293017451,0.243938419,-0.594587482,0.705738073
P11055,-1.815724345,1.532161641,NA,-0.186635446,0.268816815,-0.030607575,0.398997877,0.620525541,0.089663461,1.357880935,0.139610391,0.072731275,-1.41887751,-0.626175319,0.259908188,-0.480992539,-0.516304425,-1.627703127,0.156909715,0.27594051,0.700866463,1.508209541,0.257378655,-1.02E-05,-0.050069748,NA,NA,0.189833874,0.726628345
P11142,0.160391401,0.201407206,-0.020856515,0.202265546,-0.045580171,0.001538038,0.442518177,0.414470412,-0.289288523,0.230325806,0.566719494,0.404962026,-0.122941289,0.259098495,0.369876541,0.178969412,0.064552481,0.134255407,0.152066447,0.013423665,0.234836772,-0.238176003,0.013743743,-0.147706129,-0.211245743,0.376259513,-0.302607942,-0.135811999,-0.522149823
P11172,0.542316288,-0.147505169,-0.201607854,0.059688946,-0.025220843,0.117504796,0.722089969,-0.686829189,0.712033237,-0.329186401,-0.189665053,0.054627787,-0.034039127,-0.493673238,-0.526009906,0.297096365,0.177273118,0.77321902,-0.137692635,0.039913428,0.689848756,-0.348726319,0.279401605,-0.237991641,-0.017082695,-0.213436275,-0.81345817,0.526929801,0.00598672
P11177,0.113961642,0.118147815,-0.020408164,0.130544719,0.293931091,-0.037861162,0.238118398,0.133222923,0.157500513,-0.518187732,-0.419001945,-0.459141265,-0.127127445,-0.038589196,0.576525323,0.127761064,0.107315132,0.173006159,0.006045792,-0.04078737,-0.348477181,-0.016816346,0.204074717,0.093434465,-0.094848692,-0.358505878,-0.039197261,0.032135247,-0.709480837
P11216,-0.683892836,-0.134228137,0.63269944,0.895083355,0.192529536,0.048956705,0.757058427,0.969681732,0.24527173,0.428118174,0.782939091,0.338366919,0.515348241,-1.203474435,0.286312918,-0.278882164,0.034573394,0.220586475,0.762671753,-0.443940198,-0.514401742,1.919413724,0.36569525,-0.345955901,-0.004037617,-0.412485262,-0.506245951,0.495709682,0
