,wAP0021_d0_1A,wAP0022_d0_4A,wAP0023_d4_8A,wAP0024_d4_49A,wAP0025_d8_9A,wAP0026_d8_71A,wAP0028_d4_52A,wAP0030_d8_53A,wAP0032_d8_74A,wAP0033_d0_75A,wAP0035_d0_80A,wAP0036_d4_76A,wAP0022_d4_2A,wAP0026_d0_10A,wAP0029_d8_50A,wAP0030_d0_51A,wAP0033_d8_20A,wAP0037_d4_31A,wAP0041_d0_41A,wAP0042_d0_87A,wAP0042_d4_42A,wAP0043_d8_40A,wAP0045_d4_88A,wAP0046_d0_46A,wAP0047_d4_47A,wAP0050_d0_93A
Q9BSQ5,NA,0.56333986,0.498967997,0.492706484,0.286446143,0.585683046,0.647194338,0,-0.020661445,-1.646208108,0.333524427,-0.70226155,NA,-0.565179945,-1.267333163,0.15905644,0.137921917,-1.146340539,-0.5667297,0.039793475,-0.497126416,-0.480412094,-0.740345995,0.364800872,-0.19670495,0.499977214
Q9BT09,-0.417402172,-1.163013097,0.050869329,-0.398235872,-0.864925556,0.2645979,-0.310115826,-0.54128469,-1.321424765,-0.358598174,-0.313927382,0.584400369,0.868062914,-0.464014213,-0.69693482,-0.453132413,-0.074312756,-0.503882482,0.248373114,-0.26057827,0.122231122,-0.460359891,-0.402847175,0.381428862,-0.005211685,0.326857739
Q9BT78,-0.414899316,-0.2838174,-0.189597925,-0.118379407,0.088911311,0.012840344,0.040092462,0.137003508,0.416516865,0.160265583,0.025220072,0.12607012,-0.502977472,0.117929248,0.139806972,-0.043081412,0.139243771,0.578373143,-0.066084986,0.425995563,-0.192844802,-0.504458334,0,-0.343346766,-0.09676404,-0.244799873
Q9BTV4,NA,NA,0.550637775,-0.062762855,0.427019807,0.2430017,-0.453034558,0.220009913,-0.979161607,-0.430565268,-1.684948528,-0.932189355,NA,-0.655558382,-0.954136973,0.552952805,-0.218493696,0.534354854,0.033114113,-0.186773135,0.817343847,0.453448095,0.790828687,0.749930595,-0.338499166,0.005317122
Q9BTV5,NA,-0.921921399,-0.207009636,0.470040911,0.720479404,-2.620285185,0.841100048,0.259726459,-0.820116916,0.446643283,-0.340096553,0.767476957,NA,-1.130934466,NA,0.675502308,-0.700300392,NA,-0.514680196,-1.23077487,-1.997276608,0.04354894,-0.128755877,-0.052227411,-0.572094644,-1.056103219
Q9BTW9,0.332593625,-0.040013756,-0.28650621,0.431554319,-0.271729145,0.050079955,0.111960066,-0.448892322,0.226596254,0.004425518,0.34117839,0.14421046,-0.796272697,-0.19284493,0.19223516,-0.351250817,0.089454894,-1.48745088,0.366305276,-0.02589024,0.320002173,-0.132964163,0.366673315,-0.110591826,0.367434096,-0.373625367
Q9BU23,NA,0.336009361,0.459898913,-0.52297791,1.270131363,-0.990082195,-1.109485704,-0.401685237,-0.452065201,-0.744810157,-0.893684313,-0.29844072,NA,-1.011640619,-0.332056516,-0.070841,-0.557169475,NA,0.843853653,0.657885769,0.524965528,1.310589984,1.383313077,NA,0.475231635,0.318098774
Q9BUN8,0.012687117,NA,-1.218947991,-1.394034768,-0.507062425,0.281472339,-0.986714409,-0.86086708,-0.69098291,-2.709670962,-1.895107402,0.454235842,NA,-1.371412698,NA,-0.994429827,-1.58290237,1.06682751,0.080128802,-1.263326527,-0.999125253,-1.290282083,0.880764695,0.57503839,-0.022979229,1.166418924
Q9BUR5,-0.612210031,-0.790848768,-0.426788943,-0.010100843,0.182163142,-0.113262657,-0.306467776,-0.010024893,0.099566388,-0.036581497,-0.594108142,0.686254024,-0.223385605,-0.994247604,0.412651592,0.010087401,0.358307467,1.033195264,0.54651361,-1.447231011,-0.684049953,0.342640036,-0.417400205,0.289433642,-0.487866205,0.506287332
Q9BUT1,-0.395031012,0.372091467,-0.684773188,-0.671825661,-0.751181549,0.420888216,0.006127726,-0.169869585,0.708909953,-1.852237497,-0.076365572,0.094619127,0.153419989,0.691222046,0.059190157,-0.832654877,-0.949918429,-2.554316761,0.133219196,-0.552303216,-0.079196913,-0.53144653,0.302484653,0.410521302,-0.011071962,0.342150428
